Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,2450AT18A100E,C89334
"C1, C5, C61, C65",0805,4,22uF,C45783
"C10, C7, C78",0603,3,4.7uF,C913474
"C11, C12, C66, C73, C8",0805,5,100nF,C49678
C13,0402,1,1.2pF,C327292
C14,0402,1,2.4pF,C48346
"C15, C16, C19, C20, C21, C23, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C45, C46, C47, C48, C49, C50, C51, C52, C56, C57, C58, C67, C68, C69, C70, C75",0402,36,100nF,C1525
"C17, C22, C24, C28, C44, C53, C60",0402,7,1uF,C52923
C18,0402,1,10uF,C15525
"C2, C63",0805,2,10uF,C15850
"C25, C76, C77, C79",0603,4,100nF,C14663
"C26, C27, C29",0402,3,12pF,C1547
"C3, C62",0402,2,10nF,C15195
"C4, C64",0603,2,220pF,C156398
"C54, C55",0402,2,15pF,C1548
"C59, C6, C9",0603,3,2.2uF,C86018
"C71, C72",0805,2,10nF,C1710
C74,0805,1,10uF,C86038
D1,D_SOD-523,1,LRB520S-30T1G,C83680
D10,TPD1E05U06DPYR,1,TPD1E10B06DPYR,C48260
"D11, D12, D3, D4, D5, D6, D7, D8, D9",0402,9,PESD0402V05,C19626254
D2,DIOM168X70N,1,RB521S30T1G,C27636108
"FB1, FB2",BLM18PG121SN1D,2,120R,C14709
"FB3, FB4, FB5, FB6",BLM18PG121SN1D,4,600R,C85833
FB7,0603,1,30R,C17305
J1,1775443-2,1,1775443-2,C5162845
J2,USB-C-SMD_TYPE-C-USB-18,1,usb_c,C134092
"L1, L3",L_Cenker_CKCS4020,2,2.2uH,C719179
L2,0402,1,3.3nH,C27124
L4,0402,1,2.7nH,C434826
L5,0402,1,2.2nH,C162540
"LED1, LED6",LED-SMD_4P_SK6812D-EC3210R,2,SK6812D-EC3210R,C2890041
"LED2, LED3, LED4, LED5",SK6812MINI-E,4,SK6812MINI-E,C5149201
"MK1, MK2",MIC_T3902,2,MMICT390200012,C3171752
POWER_IN2,HRS_FH34SRJ-10S-0.5SH_50_,1,FH34SRJ-10S-0.5SH_50_,C324723
Q1,SC-70-3_L2.1-W1.3-P0.65-LS2.1-BR,1,LBSS138WT1G,C383201
Q2,SOT-23,1,BC847B,C20069135
"R1, R108, R2, R22, R3, R30, R76, R77",0402,8,100k,C25530
"R10, R11, R12, R13, R51, R6",0402,6,100R,C25076
"R14, R23, R24, R5",0402,4,10k,C25744
"R15, R17",0402,2,0R,C17168
R16,0402,1,499R,C137970
"R18, R19",0402,2,22R,C25092
"R20, R21",0402,2,5.1k,C25905
"R25, R26, R27, R28, R50",0402,5,4.7k,C25900
"R29, R4, R55",0402,3,47k,C25792
R31,0402,1,680R,C25130
R32,0402,1,1M,C26083
"R44, R7",0603,2,49.9R,C23185
R46,0603,1,100k,C25803
R47,0603,1,22.1k,C25961
R52,0402,1,1k,C11702
R53,0402,1,470k,C25790
R54,0402,1,3.3k,C25890
R8,0603,1,210k,C22952
R9,0603,1,40k,C3016445
SW1,SW-SMD_2P-L6.2-W2.5-LS9.4,1,SMXS_01K_TP,C5439760
TP1,TestPoint_Pad_D1.0mm,1,BOOT,
TP2,TestPoint_Pad_D1.0mm,1,GND,
TP3,TestPoint_Pad_D1.0mm,1,RESET,
"U1, U3",VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,2,TPS62130,C337502
U10,SOP65P640X120-14N,1,SN74LVC125APWR,C7813
U11,max98357aete,1,MAX98357AETE_T,C910544
U12,MSOP-10_3x3mm_P0.5mm,1,FSUSB42MUX,C11355
U13,SOT-23-5,1,AP22802AW5-7,C211404
U2,SOT65P210X110-5N,1,MIC5365-1.8YC5-TR,C626087
U4,SOT-23-5,1,TPS7A0309PDBVR,C2977167
U5,QFN40P700X700X90-57N,1,ESP32-S3R8,C2913194
"U6, U8",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q128JVSIQ,C97521
U7,XU316-1024-QF60B-C24,1,XU316-1024-QF60B-C24,C6617472
U9,TLV73333PDBVR,1,TLV73333PDBVR,C134139
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C9010
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C70590
